Level 1,Level 2,Level 3,Level 4
furniture,,,
,figure-background,,
,axes-background,,
,gridlines,,
,,gridline-{n},
,annotations,,
,,annotation-{k},
axis-spine,,,
,axis-spine-lines,,
,,axis-spine-x,
,,axis-spine-y,
,,axis-spine-x-mirror,
,,axis-spine-y-mirror,
,axis-ticks-x,,
,,axis-tick-x-{n},
,,,axis-tick-x-{n}-mark
,,,axis-ticklabel-x-{n}
,axis-ticks-x-mirror,,
,,axis-tick-x-mirror-{n},
,axis-ticks-y,,
,,axis-tick-y-{n},
,,,axis-tick-y-{n}-mark
,,,axis-ticklabel-y-{n}
,axis-ticks-y-mirror,,
,,axis-tick-y-mirror-{n},
,axis-labels,,
,,axis-title,
,,axis-xlabel,
,,axis-ylabel,
dataseries,,,
,dataseries-{i}-{slug},,
,,value,
,,,dataseries-{i}-{slug}-line
,,conf,
,,,dataseries-{i}-{slug}-fill
legend,,,
,legend-box,,
,,legend-box-bg,
,,legend-box-border,
,legend-entry-{i},,
,,legend-swatch-{i},
,,legend-label-{i},
colorbar,,,
,colorbar-box,,
,colorbar-outline,,
,,colorbar-outline-{n},
,colorbar-ticks,,
,,colorbar-tick-{n},
,,,colorbar-tick-{n}-mark
,,,colorbar-ticklabel-{n}
,colorbar-decoration,,
,,colorbar-decoration-{n},
,colorbar-label,,
